domain,category,other_industry_category,company_size,email_provider,website,confidence
lifewood.com,Manufacturing and industrial,,50-100,No,much_info,85
getaltos.com,Technology and software development,,20-50,No,much_info,95
b2bwizards.io,Marketing and advertising,,20-50,No,much_info,95
cxm.com,Technology and software development,,20-May,No,much_info,95
pluslogisticsltd.com,Logistics and transportation,,20-50,No,much_info,95
sciengines.com,Technology and software development,,500+,No,much_info,95
beaconhousetechnology.com,Technology and software development,,100-200,No,much_info,95
growmaxai.com,Technology and software development,,20-50,No,much_info,95
smartago.net,Technology and software development,,20-50,No,much_info,90
alchemybreathwork.com.au,Other,Wellness and Personal Development,1-5 employees,No,much_info,95
webnetictrendz.com,Technology and software development,,20-50,No,much_info,92
localtravelsguide.com,Other,Travel Blog,1-5 employees,No,much_info,85
rockyexteriors.com,Other,Home Improvement,20-50,No,much_info,95
quantumcontractsolutions.com,Technology and software development,,20-50,No,much_info,95
designbrains.com,Technology and software development,,20-May,No,much_info,95
proteomics.com.au,Healthcare,,100-200,No,much_info,95
group14.technology,Technology and software development,,200-500,No,much_info,95
gouparty.com,Technology and software development,,20-50,No,much_info,80
fortunechimmizone.com,Technology and software development,,20-50,No,much_info,85
avishkaram.com,Technology and software development,,20-May,No,much_info,95
solnrus.com,Technology and software development,,20-50,No,much_info,95
innovantsolution.com,Technology and software development,,20-50,No,much_info,95
green-lawner.com,Other,Landscaping and Yard Care Services,20-May,No,much_info,95
hashdt.com,Technology and software development,,20-50,No,much_info,90
orderonline.in.net,Technology and software development,,20-50,No,much_info,95
tetr.org,Other,Online Gaming,1-5 employees,No,much_info,85
almondtcss.com,Technology and software development,,20-May,No,much_info,90
merlinhomes.co,Real estate and property management,,20-50,No,much_info,90
oviovi.io,Technology and software development,,20-50,No,much_info,95
christianharvey.london,Technology and software development,,solo,No,much_info,95
capeneto.com,Technology and software development,,20-May,No,much_info,95
rsrkitchen.com,Other,Home Improvement Services,20-May,No,much_info,90
albertosardinas.com,Other,Motivational Speaking and Author,solo,No,much_info,95
themccorp.com,Real estate and property management,,50-100,No,much_info,95
northpointhospitality.com,Other,Hospitality Management,500+,No,much_info,95
sheelafoam.com,Manufacturing and industrial,,500+,No,much_info,95
digitruckdispatchers.com,Logistics and transportation,,1-5 employees,No,much_info,90
kw.com,Real estate and property management,,500+,No,much_info,95
goflow.co.site,Technology and software development,,20-50,No,much_info,80
86cannon.com,Other,Business Consulting / Startup Advisory,20-May,No,much_info,95
topnames.org,Technology and software development,,20-50,No,much_info,95
oceansxyz.com,Other,Unknown Business Type,solo,No,no_info,10
t4.education,Technology and software development,,100-200,No,much_info,95
alselli.co.id,Technology and software development,,50-100,No,much_info,80
highticketclosers.us,Other,Sales Training and Consulting,20-50,No,much_info,95
wiserteck.com,Marketing and advertising,,20-50,No,much_info,95
luxinvest.io,Real estate and property management,,20-50,No,much_info,95
newwavefansmanagement.com,Technology and software development,,20-50,No,much_info,95
wahyd.com,Technology and software development,,100-200,No,much_info,90
jktech-collabs.com,Technology and software development,,20-50,No,much_info,95
ideasx.com,Technology and software development,,20-50,No,much_info,95
radiatechs.com,Technology and software development,,20-50,No,much_info,90
ark2construct.com,Other,Construction,20-50,No,much_info,90
speedobuy.com,Technology and software development,,20-50,No,much_info,85
stayhome.li,Other,Community Project,solo,No,no_info,50
houseofassignments.com,Other,Academic Writing Service,20-50,No,much_info,85
tourbureau.us,Technology and software development,,20-May,No,much_info,95
innovativehiringsolutions.com,Technology and software development,,20-50,No,much_info,95
owleyes.ch,Technology and software development,,20-50,No,much_info,90
axguard.com,Technology and software development,,20-50,No,much_info,95
tycoms.com,Technology and software development,,20-50,No,much_info,95
intergroupmining.com,Other,Mining,20-50,No,much_info,90
geniusbuddyy.com,Technology and software development,,20-May,No,much_info,95
jyglobalbiz.com,Technology and software development,,11-50 employees,No,much_info,95
bliniofficial.com,Technology and software development,,100-200,No,much_info,95
synovaconsultants.com,Technology and software development,,20-50,No,much_info,95
rybnikov.co,Technology and software development,,solo,No,much_info,95
mokobara.com,E-commerce and retail,,100-200,No,much_info,95
equitylegalservices.org,Other,Legal Services,20-50,No,much_info,95
skyworksllc.com,Technology and software development,,20-50,No,much_info,95
techxerro.com,Technology and software development,,20-May,No,much_info,95
blacktuskadvisors.com,Technology and software development,,1-5 employees,No,much_info,95
teamdash.com,Technology and software development,,20-May,No,much_info,95
basalanalytics.com,Technology and software development,,20-50,No,much_info,90
pathwayzbd.com,Marketing and advertising,,1-5 employees,No,much_info,95
avantaxdesign.com,Marketing and advertising,,1-5 employees,No,much_info,95
advantagefeeders.com.au,Manufacturing and industrial,,20-50,No,much_info,95
jdadigital.com,Marketing and advertising,,20-50,No,much_info,95
iacs.in,Other,Research Institute,500+,No,much_info,95
souheibmadi.com,Technology and software development,,solo,No,much_info,95
borisgroupofconstruction.com.au,Other,Construction,20-50,No,much_info,95
mindcypress.com,Technology and software development,,50-100,No,much_info,95
doshiengineering.com,Other,Engineering Services,20-50,No,much_info,95
kohtour.com,Other,Travel Agency,20-May,No,much_info,90
revolnixx.com,Other,No Business Information,solo,No,no_info,10
giakaacapital.com,Financial Service,,20-May,No,much_info,95
andaazfashion.com,E-commerce and retail,,20-50,No,much_info,95
thesuperaccountants.com,Financial Service,,20-May,No,much_info,88
finoways.com,Financial Service,,20-50,No,much_info,95
dreamkeyrentals.com,Real estate and property management,,20-50,No,much_info,95
catapultonline.com,Education and e-learning,,50-100,No,much_info,95
hekautech.com,Technology and software development,,20-50,No,much_info,95
farol-hansestil.de,Real estate and property management,,20-May,No,much_info,95
lowcodeminds.com,Technology and software development,,20-50,No,much_info,80
prepzee.com,Education and e-learning,,20-50,No,much_info,95
k2020.digital,Marketing and advertising,,20-May,No,much_info,95
cbasites.com,Technology and software development,,20-May,No,much_info,90
smartenspaces.com,Technology and software development,,100-200,No,much_info,95
skillreveal.io,Technology and software development,,20-50,No,much_info,95
datafit-solutions.com,Technology and software development,,20-50,No,much_info,95
futurewiseresearch.com,Other,Market Research,20-50,No,much_info,95
forintech.com,Technology and software development,,20-50,No,much_info,95
bioquestglobal.com,Technology and software development,,20-May,No,much_info,95
aristx.com,Technology and software development,,20-May,No,much_info,95
saverin.com,Technology and software development,,20-50,No,much_info,92
amurglobal.com,Technology and software development,,100-200,No,much_info,95
tutamail.com,Technology and software development,,100-200,No,much_info,95
ananyapanda.space,Technology and software development,,solo,No,much_info,95
tryzensolution.com,Technology and software development,,20-50,No,much_info,95
sgnow.in,Technology and software development,,1-5 employees,No,much_info,85
edbrig.com,Technology and software development,,200-500,No,much_info,95
technagy.com,Technology and software development,,100-200,No,much_info,95
rotchsolutions.xyz,Technology and software development,,1-5 employees,No,much_info,95
ghareebobazar.com,E-commerce and retail,,20-50,No,much_info,95
sghrfze.com,Other,No specific industry found,solo,No,unreachable,10
neubergtechnology.com,Technology and software development,,20-50,No,much_info,95
luxgeorgia.com,Manufacturing and industrial,,20-50,No,much_info,90
bryanphama.com,Healthcare,,200-500,No,much_info,95
resumetiger.app,Technology and software development,,1-5 employees,No,much_info,95
shieldbyteinfosec.com,Technology and software development,,20-50,No,much_info,90
mudshare.com,Technology and software development,,1-5 employees,No,much_info,85
sedgwick.net.au,Financial Service,,500+,No,much_info,95
moasm.com,Marketing and advertising,,20-May,No,much_info,95
rommelvargas.com,Technology and software development,,solo,No,much_info,95
iscuela.com,Education and e-learning,,20-50,No,much_info,95
zomome.com,Technology and software development,,20-May,No,much_info,95
flipjungle.com,E-commerce and retail,,20-May,No,much_info,85
equinoxedge.com,Technology and software development,,20-50,No,much_info,95
claimclimbers.com,Technology and software development,,20-50,No,much_info,95
overdriverecruitment.com,Other,Recruitment Agency,20-50,No,much_info,95
lembrt.com,Technology and software development,,20-50,No,much_info,95
dotcouncil.org,Other,Policy Advisory / Think Tank,20-50,No,much_info,95
cribcreative.com.au,Marketing and advertising,,20-50,No,much_info,95
julakanti.com,Technology and software development,,solo,No,much_info,95
qcsmelbourne.com,Technology and software development,,20-50,No,much_info,95
primetrace.com,Technology and software development,,20-50,No,much_info,95
bhullarenterprisesllc.com,Other,Construction,1-5 employees,No,much_info,95
egetechs.com,Technology and software development,,1-5 employees,No,much_info,95
cetta.io,Technology and software development,,50-100,No,much_info,95
pbell.com,Other,Management Consulting,20-May,No,much_info,90
ledusatx.com,Technology and software development,,20-50,No,much_info,95
zymaxpharma.com,Healthcare,,50-100,No,much_info,95
choco.la,E-commerce and retail,,20-May,No,much_info,95
radiantscience.io,Healthcare,,20-50,No,much_info,95
mavitdigital.com,Marketing and advertising,,1-5 employees,No,much_info,95
targetgrid.ai,Technology and software development,,20-May,No,much_info,95
carconnectautosales.com,Technology and software development,,20-50,No,much_info,80
maryruthorganics.com,E-commerce and retail,,200-500,No,much_info,95
kennedyslaw.com,Other,Legal Services,500+,No,much_info,95
mail2tor.com,Technology and software development,,20-50,Yes,much_info,80
boosttown.uk,Marketing and advertising,,20-May,No,much_info,95
kloudeva.com,Technology and software development,,20-May,No,much_info,95
rv-quantum.com,Technology and software development,,20-May,No,much_info,95
leanbase.com,Technology and software development,,20-50,No,much_info,95
pristineposh.com,E-commerce and retail,,1-5 employees,No,much_info,85
aeroamericagroup.com,Logistics and transportation,,20-50,No,much_info,95
grandvalleytutor.com,Education and e-learning,,20-May,No,much_info,95
heinrichackermann-bau.de,Other,Construction Services,100-200,No,much_info,95
attoinfotech.com,Technology and software development,,20-May,No,much_info,95
fxpro.com,Financial Service,,500+,No,much_info,95
pamhq.com,Technology and software development,,100-200,No,much_info,95
twentyeight.media,Other,Media Production,20-50,No,much_info,95
metrowestcarservice.com,Logistics and transportation,,20-May,No,much_info,90
mailfence.com,Technology and software development,,20-50,No,much_info,80
ttg-globalgroup.com,Technology and software development,,50-100,No,much_info,95
animahealth.com,Technology and software development,,50-100,No,much_info,95
ferlazzo.it,Technology and software development,,solo,No,much_info,95
hellomoe.co.uk,Technology and software development,,20-May,No,much_info,95
arctech.pro,Technology and software development,,20-50,No,much_info,95
xenelsoft.com,Technology and software development,,20-50,No,much_info,95
childsafealliance.com.au,Other,Non-profit / Child Safety Consulting,20-May,No,much_info,95
ondemandint.com,Technology and software development,,50-100,No,much_info,95
suntopfundau.com,Financial Service,,20-50,No,much_info,95
newmoneycompany.com,Technology and software development,,20-50,No,much_info,95
kylas.io,Technology and software development,,50-100,No,much_info,95
succeedsmarter.co,Technology and software development,,20-50,No,much_info,95
avkwinkel.nl,E-commerce and retail,,1-5 employees,No,much_info,95
3layerstech.com,Technology and software development,,20-50,No,much_info,95
groa.online,Technology and software development,,20-50,No,much_info,90
aidus.ai,Technology and software development,,20-50,No,much_info,85
skyvisionnyc.com,Technology and software development,,20-May,No,much_info,95
zulutrade.com,Technology and software development,,20-50,No,much_info,80
upvuecpa.com,Financial Service,,1-5 employees,No,much_info,95
uprealltyllc.com,Real estate and property management,,1-5 employees,No,much_info,95
leabro.com,Technology and software development,,solo,No,much_info,95
fpstechnologies.in,Technology and software development,,20-50,No,much_info,85
couponorg.com,E-commerce and retail,,20-May,No,much_info,85
int.pl,Other,Internet Services,500+,No,much_info,95
beyondarchitects.co.nz,Real estate and property management,,20-May,No,much_info,95
theoffshorewave.com,Technology and software development,,20-May,No,much_info,85
classatruckin.com,Logistics and transportation,,20-50,No,much_info,95
fameninja.com,Marketing and advertising,,20-May,No,much_info,85
fando.ai,Technology and software development,,20-May,No,much_info,95
vluwork.com,Technology and software development,,20-50,No,much_info,95
lpb.gg,Technology and software development,,20-50,No,much_info,85
affordabledreams.us,E-commerce and retail,,20-May,No,much_info,90
myclkd.id,Technology and software development,,100-200,No,much_info,95
civilconsol.com.au,Other,Civil Engineering & Construction Services,20-50,No,much_info,95
divegen.com.au,Technology and software development,,20-50,No,much_info,95
massavana.com,Marketing and advertising,,20-May,No,much_info,95
collective-commerce-hk.com,E-commerce and retail,,100-200,No,much_info,90
craftybusiness.cloud,Technology and software development,,20-50,No,much_info,80
coretechplacements.in,Technology and software development,,20-50,No,much_info,85
ccotech.net,Technology and software development,,20-May,No,much_info,95
edalem.io,Technology and software development,,1-5 employees,No,much_info,95
hakunamatatatech.com,Technology and software development,,20-50,No,much_info,95
wisewaysinstitute.com,Education and e-learning,,20-May,No,much_info,90
localbird.io,Marketing and advertising,,1-5 employees,No,much_info,95
gtm.inc,Technology and software development,,100-200,No,much_info,95
newt.foundation,Technology and software development,,1-5 employees,No,much_info,95
gorvat.me,Technology and software development,,solo,No,much_info,95
netsolidinvest.com,Financial Service,,20-50,No,much_info,80
weldo.org,Technology and software development,,1-5 employees,No,much_info,95
aboniemediagroup.com,Technology and software development,,20-50,No,much_info,80
aqwire.co,Real estate and property management,,100-200,No,much_info,95
vk.com,Technology and software development,,500+,No,much_info,95
tech-computers.com,Technology and software development,,20-50,No,much_info,80
area9tea8.com,Other,Unknown,solo,No,no_info,15
nextgenhardwarelimited.com,Technology and software development,,20-May,No,much_info,95
digitalbry.com,Marketing and advertising,,20-50,No,much_info,85
voip.associates,Technology and software development,,20-50,No,much_info,85
24x7designs.com,Technology and software development,,20-50,No,much_info,85
luxecosmetictattooing.com.au,Other,Beauty Services,solo,No,much_info,95
rbphotography.online,Other,Photography Services,solo,No,much_info,95
epictranscription.com,Other,Transcription Services,20-50,No,much_info,90
bearcateth.com,Technology and software development,,20-May,No,much_info,95
looplynks.com,Technology and software development,,20-50,No,much_info,95
xero.com,Technology and software development,,500+,No,much_info,95
rackantech.com,Technology and software development,,20-50,No,much_info,95
eylulozturk.com,Technology and software development,,solo,No,much_info,95
futurasydney.com,Technology and software development,,20-50,No,much_info,95
vstartimmigrations.in,Other,Immigration Services,20-50,No,much_info,90
luminexagroup.com,Technology and software development,,20-50,No,much_info,90
tuta.com,Technology and software development,,20-50,Yes,much_info,95
ph.staffoutsourcing.com,Technology and software development,,200-500,No,much_info,95
deiso.co.jp,Other,Environmental Consulting and Research,20-May,No,much_info,95
fansbase.uk,Technology and software development,,20-May,No,much_info,85
petrovdigital.io,Technology and software development,,20-50,No,much_info,95
doubt.com,E-commerce and retail,,20-May,No,much_info,92
firepulseai.com,Technology and software development,,20-50,No,much_info,95
wilmingtonaquaticclub.com,Other,Sports and Recreation Club,20-50,No,much_info,95
toolswiss.com,E-commerce and retail,,20-May,No,much_info,90
4sqinternational.com,Technology and software development,,50-100,No,much_info,95
risottini.com,Manufacturing and industrial,,500+,No,much_info,95
hetcash.com,Financial Service,,20-50,No,much_info,95
hollo.hk,Technology and software development,,20-50,No,much_info,80
salesforce.com,Technology and software development,,500+,No,much_info,95
emergemarket.com,Technology and software development,,20-50,No,much_info,95
functionatics.com,Technology and software development,,50-100,No,much_info,95
iv.ai,Technology and software development,,20-50,No,much_info,90
nakad.co,Financial Service,,20-May,No,much_info,95
vlifesolutions.co.uk,Marketing and advertising,,1-5 employees,No,much_info,92
agentic.it,Technology and software development,,20-50,No,much_info,95
ge-ed.co,Education and e-learning,,500+,No,much_info,95
smartnutritionfitclub.com,Healthcare,,1-5 employees,No,much_info,95
betrobot.ai,Technology and software development,,20-50,No,much_info,80
justtrademarkets.com,Technology and software development,,20-50,No,much_info,80
