domain,category,other_category,company_size,email_provider,website,confidence
arrowsolarsolutions.au,Professional Services,,1 to 5,No,little_info,60
asktechguy.com,Technology and Software Development,,1 to 5,No,much_info,95
assistedin.com.au,Other,Domain Registrar/Hosting,solo,No,no_info,95
astes.com.au,Manufacturing and Industrial,,20 to 50,No,much_info,95
augasta.gmbh,E-commerce and Retail,,1 to 5,No,much_info,95
averyhealth.co.za,Healthcare,,1 to 5,No,unreachable,70
axiara.ch,Financial Service,,5 to 20,No,much_info,95
azuretcg.com,E-commerce and Retail,,1 to 5,No,little_info,75
balticassist.com,Professional Services,,50 to 100,No,much_info,95
beyondfood.ch,E-commerce and Retail,,1 to 5,No,much_info,95
blockchainsaints.org,Education and e-learning,,1 to 5,No,much_info,95
blueskybizsolutions.com,Financial Service,,5 to 20,No,much_info,95
bluverseinfobit.com,Professional Services,,50 to 100,No,much_info,95
boclar.com,Technology and Software Development,,50 to 100,No,unreachable,40
boraaluga.com.br,Other,Rental Services,1 to 5,No,little_info,75
brefni.com.au,Professional Services,,100 to 200,No,much_info,95
briangould-properties.com,Real Estate and Property Management,,solo,No,no_info,75
brworksolutions.com,Professional Services,,1 to 5,No,no_info,60
bulkifex.com,E-commerce and Retail,,20 to 50,No,much_info,95
caninecodeltd.com,Technology and Software Development,,1 to 5,No,little_info,75
cascalia.com,E-commerce and Retail,,1 to 5,No,much_info,95
cashaward.info,Other,Scam/Spam,solo,No,unreachable,95
cbaccservices.co.uk,Professional Services,,solo,No,no_info,40
cigreen.net,Other,Environmental Services,1 to 5,No,unreachable,75
civilmind.io,Technology and Software Development,,1 to 5,No,little_info,60
clearviewcleaning.com.au,Professional Services,,1 to 5,No,much_info,95
cleb.co.uk,Manufacturing and Industrial,,20 to 50,No,much_info,95
clevaramgmt.com,Professional Services,,1 to 5,No,little_info,60
client-capitalgroup.com,Financial Service,,1 to 5,No,unreachable,75
client-milfordasset.com,Financial Service,,1 to 5,No,unreachable,75
clubdvin.com,E-commerce and Retail,,5 to 20,No,much_info,95
connoisseurhospitality.com,Professional Services,Travel/Hospitality,5 to 20,No,much_info,95
conzuri.com,E-commerce and Retail,,1 to 5,No,much_info,95
cornerstones.com.au,Professional Services,,5 to 20,No,much_info,95
crtotalcleaning.com,Professional Services,,1 to 5,No,much_info,95
cryptonx.trade,Financial Service,,20 to 50,No,much_info,95
cultivatusideas.com,Technology and Software Development,,1 to 5,No,much_info,95
darna.site,Other,,solo,No,no_info,40
dashloc.com,Technology and Software Development,,50 to 100,No,much_info,95
digitaltreasury.com.au,Marketing and Advertising,,5 to 20,No,much_info,95
digitariff.co.uk,Technology and Software Development,,1 to 5,No,much_info,95
digitrench.com,Technology and Software Development,,1 to 5,No,little_info,60
directmbc.com,Technology and Software Development,,50 to 100,No,unreachable,50
divinefavoursms.com,Technology and Software Development,,1 to 5,No,little_info,75
dupe.fi,E-commerce and Retail,,1 to 5,No,much_info,95
eatonsq.com,Financial Service,,100 to 200,No,much_info,95
ecom007.com,Marketing and Advertising,,1 to 5,No,much_info,95
edenrentals.es,Real Estate and Property Management,,5 to 20,No,much_info,95
emberslate.shop,E-commerce and Retail,,solo,No,little_info,70
emergimentors.com.au,Professional Services,,1 to 5,No,much_info,95
exiscale.com,Marketing and Advertising,,5 to 20,No,much_info,95
exportia.com.au,Professional Services,,5 to 20,No,much_info,95
externa-international.com,Professional Services,,5 to 20,No,little_info,60
exxoworld.com,Other,,solo,No,unreachable,10
fantasysportstoken.org,Technology and Software Development,,1 to 5,No,little_info,55
fattanicomputers.com,E-commerce and Retail,,1 to 5,No,much_info,95
fixanyphoto.com,Professional Services,,50 to 100,No,much_info,95
flashfixs.com,E-commerce and Retail,,1 to 5,No,much_info,95
flexistones.com,E-commerce and Retail,,1 to 5,No,much_info,95
france-aesthetic.fr,E-commerce and Retail,,5 to 20,No,much_info,95
ganakonsultan.com,Professional Services,,5 to 20,No,much_info,95
ggccfx.com,Financial Service,,50 to 100,No,much_info,95
gloryeltrade.com,E-commerce and Retail,,1 to 5,No,much_info,95
goktel.net,Technology and Software Development,,1 to 5,No,little_info,50
goomood.com,Other,Coming Soon Page,solo,No,no_info,70
goteamup.co.uk,Technology and Software Development,,1 to 5,No,much_info,95
gotinflatables.com,E-commerce and Retail,,5 to 20,No,much_info,95
grabbfx.com,Financial Service,,50 to 100,No,unreachable,60
gratiamgmt.com,Marketing and Advertising,,1 to 5,No,much_info,95
growmaxai.com,Technology and Software Development,,5 to 20,No,much_info,95
haelthy.com,Healthcare,,5 to 20,No,much_info,95
hekautech.com,Technology and Software Development,,20 to 50,No,little_info,60
hetcash.com,Financial Service,,1 to 5,No,unreachable,60
honeybirdhomes.com,Real Estate and Property Management,,1 to 5,No,much_info,95
houseofassignments.com,Education and e-learning,,5 to 20,No,much_info,95
hunterconnect.net,Technology and Software Development,,1 to 5,No,unreachable,50
imsailor.com,Technology and Software Development,,solo,No,little_info,45
innovantsolution.com,Professional Services,IT Consultancy,1 to 5,No,much_info,90
islamicsocietyfolsom.com,Other,Non-profit,1 to 5,No,little_info,70
itsevolve.com,Technology and Software Development,,5 to 20,No,unreachable,50
jtr-autos.com,E-commerce and Retail,,1 to 5,No,unreachable,70
kafekinship.com,Other,Domain Parking,solo,No,no_info,95
kajisbeauty.com,Education and e-learning,,1 to 5,No,much_info,95
kerie.app,E-commerce and Retail,,1 to 5,No,much_info,95
kmina.com,E-commerce and Retail,,50 to 100,No,much_info,95
kruiseaveph.com,Other,Travel Agency,1 to 5,No,little_info,75
lcmigration.com,Professional Services,Immigration Services,1 to 5,No,much_info,95
leaplabour.com.au,Professional Services,,20 to 50,No,much_info,95
leppardlaw.com,Professional Services,Pet Services,5 to 20,No,much_info,95
letapyr.ch,Professional Services,,1 to 5,No,much_info,95
lionessfashion.com,E-commerce and Retail,,5 to 20,No,much_info,95
lizlarroquette.com,Real Estate and Property Management,,solo,No,much_info,95
lopesstudio.com,Technology and Software Development,,5 to 20,No,much_info,95
loveyagutsbox.com,E-commerce and Retail,,5 to 20,No,much_info,95
luxinvest.io,Financial Service,,1 to 5,No,little_info,75
luxiumrefresh.com,E-commerce and Retail,,1 to 5,No,much_info,95
marambaiatech.com,Technology and Software Development,,1 to 5,No,unreachable,70
massavana.com,E-commerce and Retail,,1 to 5,No,much_info,95
medex.co.th,Healthcare,,50 to 100,No,unreachable,70
merlinhomes.co,Real Estate and Property Management,,1 to 5,No,much_info,95
mindgives.com.au,Healthcare,,5 to 20,No,much_info,95
mouadakalai.team,Technology and Software Development,,solo,No,little_info,60
mtkdigital.io,E-commerce and Retail,,50 to 100,No,much_info,95
nactionsg.com,Financial Service,,1 to 5,No,much_info,95
neuralnet9.com,Technology and Software Development,,solo,No,no_info,70
newlooktrend.com,E-commerce and Retail,,5 to 20,No,much_info,95
ninjavpn.app,Technology and Software Development,,1 to 5,No,much_info,95
nurturebeast.com,Marketing and Advertising,,5 to 20,No,much_info,95
nuz.net,Financial Service,Cryptocurrency Cashback Platform,1 to 5,No,much_info,95
oberrheinische.com,Financial Service,,50 to 100,No,much_info,95
oguz.law,Professional Services,Pet Services,5 to 20,No,much_info,95
oneltd.tech,Technology and Software Development,,solo,No,no_info,50
opthealthservices.com.au,Healthcare,,5 to 20,No,much_info,95
otom-energy.com,Manufacturing and Industrial,,20 to 50,No,much_info,95
paidtoswitch.ie,Other,Job Board/Recruitment,1 to 5,No,unreachable,95
pandastack.io,Technology and Software Development,,1 to 5,No,much_info,95
pimarexpress.ht,Logistics and Transportation,,5 to 20,No,much_info,95
pinwheel.com,E-commerce and Retail,,50 to 100,No,much_info,95
prestige.trade,Professional Services,,solo,No,unreachable,0
propfintech.com,Technology and Software Development,,20 to 50,No,much_info,95
quickcash.finance,Financial Service,,solo,No,no_info,95
quickexpressgoods.com,Logistics and Transportation,,1 to 5,No,unreachable,50
quillquestpublishing.com,Professional Services,,1 to 5,No,much_info,95
rawhousecleaning.com,Professional Services,,5 to 20,No,much_info,95
remonsauto.com,Logistics and Transportation,,5 to 20,No,much_info,95
rollmate.com.au,E-commerce and Retail,,solo,No,much_info,95
ryansmss.com,Technology and Software Development,,1 to 5,No,much_info,95
saastech.io,Technology and Software Development,,5 to 20,No,much_info,95
scashglobal.com,Technology and Software Development,,20 to 50,No,much_info,95
simplestudy.com,Education and e-learning,,50 to 100,No,much_info,95
skeelx.com,Technology and Software Development,,1 to 5,No,little_info,65
smartinfosolutions.com.au,Technology and Software Development,,1 to 5,No,unreachable,50
socialchamp.io,Technology and Software Development,,50 to 100,No,much_info,95
socialsbysxphie.com,Marketing and Advertising,,solo,No,little_info,75
solidstartdev.com,Professional Services,,20 to 50,No,much_info,95
solnrus.com,Professional Services,Hospitality/Hotel,20 to 50,No,much_info,95
solutionize.tech,Technology and Software Development,,5 to 20,No,much_info,95
somozalawfirm.com,Professional Services,Pet Services,1 to 5,No,much_info,95
somsoft.so,Technology and Software Development,,5 to 20,No,unreachable,75
southerncruxtransport.ws,Logistics and Transportation,,1 to 5,No,little_info,50
spacecore.pro,Technology and Software Development,,20 to 50,No,much_info,95
spacepirate.io,Technology and Software Development,,1 to 5,No,much_info,95
stayinternationalusa.com,Technology and Software Development,,solo,No,no_info,60
studioqiro.asia,Marketing and Advertising,,5 to 20,No,much_info,95
sugarinuk.com,E-commerce and Retail,,1 to 5,No,much_info,95
superfastauto.com,E-commerce and Retail,,1 to 5,No,unreachable,70
superh.app,Technology and Software Development,,20 to 50,No,little_info,70
teampro.com,Technology and Software Development,,50 to 100,No,much_info,95
thecleaningdrones.com.au,Professional Services,,1 to 5,No,much_info,95
theconscientiousgroup.com.au,Professional Services,,solo,No,little_info,60
thepaceinfosys.com,Technology and Software Development,,50 to 100,No,much_info,95
theserialtraveller.com,Other,Travel Agency,solo,No,little_info,75
thezero.day,Technology and Software Development,,solo,No,no_info,50
travelminds.net,Other,,solo,No,no_info,95
trovaunposto.it,E-commerce and Retail,,1 to 5,No,much_info,95
try-claro.com,E-commerce and Retail,,5 to 20,No,much_info,95
unblock.io,Technology and Software Development,,5 to 20,No,much_info,95
usa.am,Professional Services,,500+,No,unreachable,45
valentin.kr,Technology and Software Development,,solo,No,unreachable,40
valueworldz.com,E-commerce and Retail,,1 to 5,No,much_info,95
venderly.ai,Technology and Software Development,,20 to 50,No,much_info,95
vinkodigital.com,Technology and Software Development,,5 to 20,No,much_info,95
vitastep.com.au,Education and e-learning,,5 to 20,No,much_info,95
vlakar.ae,Real Estate and Property Management,,1 to 5,No,much_info,95
wakeupwarrior.com,Education and e-learning,,solo,No,much_info,95
wintech-solutions.co,Professional Services,,5 to 20,No,much_info,95
wrightpointwealth.com,Financial Service,,solo,No,no_info,40
wwwh2olabs.com,Other,,solo,No,no_info,95
x-publishing.com,Marketing and Advertising,,5 to 20,No,much_info,95
xpressioncorp.com,Technology and Software Development,,1 to 5,No,unreachable,50
yaycg.com,Marketing and Advertising,,1 to 5,No,much_info,95
zeila.shop,E-commerce and Retail,,solo,No,unreachable,10
blueflamesolution.co.site,Technology and Software Development,,1 to 5,No,unreachable,75
enterapiaonline.com,Healthcare,,5 to 20,No,much_info,95
startmage.io,Technology and Software Development,,1 to 5,No,much_info,95
cofabinvestments.com,Professional Services,,5 to 20,No,much_info,95
dynamicwebeurope.com,Technology and Software Development,,1 to 5,No,little_info,75
jktech-collabs.com,Technology and Software Development,,1 to 5,No,no_info,60
bodyfit.com.au,Other,Health and Fitness,50 to 100,No,much_info,95
theghori.com,E-commerce and Retail,,1 to 5,No,much_info,95
eduservlondon.co.uk,Education and e-learning,,1 to 5,No,unreachable,75
myconsultingoffer.org,Professional Services,,5 to 20,No,much_info,95
qurator.pro,Professional Services,,5 to 20,No,much_info,95
astroselling.com,Technology and Software Development,,50 to 100,No,much_info,95
sbp-romania.com,Technology and Software Development,,50 to 100,No,much_info,95
interia.com,Technology and Software Development,,500+,No,unreachable,10
tutamail.com,Technology and Software Development,,50 to 100,Yes,much_info,95
babygol.store,E-commerce and Retail,,solo,No,no_info,50
immeublesnotredame.com,Real Estate and Property Management,,5 to 20,No,much_info,95
the3digital.com,Technology and Software Development,,1 to 5,No,unreachable,70
questlogic.com,Technology and Software Development,,50 to 100,No,much_info,95
pm.me,Technology and Software Development,,500+,Yes,much_info,100
nomadessence.com,Professional Services,Art and Design,5 to 20,No,much_info,95
signal-master.org,Other,,solo,No,no_info,45
immobiliareforte.it,Real Estate and Property Management,,1 to 5,No,much_info,95
markom-bs.com,Professional Services,,1 to 5,No,unreachable,75
morternz.com,Financial Service,,50 to 100,No,much_info,95
arizona.edu,Education and e-learning,,500+,No,much_info,100
nexbhullah.com,Marketing and Advertising,,1 to 5,No,much_info,95
pine-apple.io,Professional Services,,1 to 5,No,much_info,95
giakaacapital.com,Financial Service,,20 to 50,No,much_info,95
gatech.edu,Education and e-learning,,500+,No,much_info,100
tom-projects.com,Real Estate and Property Management,Agriculture Investment and Agrofood Export,50 to 100,No,much_info,95
streamlinerz.com,Professional Services,,50 to 100,No,much_info,95
worldwideholidaysltd.com,Other,Travel Agency,5 to 20,No,unreachable,70
fantasystudios.ai,Technology and Software Development,,1 to 5,No,little_info,75
somakanti.com,E-commerce and Retail,,1 to 5,No,much_info,95
unleashiacosmetics.com,E-commerce and Retail,,20 to 50,No,much_info,95
liolex.com,Technology and Software Development,,solo,No,unreachable,20
blazondisplays.com.au,E-commerce and Retail,,1 to 5,No,much_info,95
contentcognition.net,Marketing and Advertising,,5 to 20,No,much_info,95
startmail.com,Technology and Software Development,,20 to 50,Yes,much_info,95
muma.com.br,E-commerce and Retail,,50 to 100,No,much_info,95
heliosfinancialgroup.com,Professional Services,Financial Consulting,20 to 50,No,much_info,95
agentyug.com,Technology and Software Development,,5 to 20,No,little_info,75
nexxusgroup.ca,Real Estate and Property Management,,5 to 20,No,much_info,95
skywebltd.uk,Technology and Software Development,,1 to 5,No,unreachable,70
sedric.ai,Technology and Software Development,,20 to 50,No,much_info,95
anexasconsulting.com,Technology and Software Development,,20 to 50,No,much_info,95
ecoviewusa.com,Other,Window Tinting and Film,1 to 5,No,unreachable,50
k5mortgage.com,Financial Service,,5 to 20,No,much_info,95
kelma.io,Technology and Software Development,,20 to 50,No,much_info,95
oasisconsulting.biz,Professional Services,,1 to 5,No,little_info,60
redmondsigns.com,Manufacturing and Industrial,,5 to 20,No,much_info,95
statesside.com,Professional Services,,50 to 100,No,much_info,95
swankypros.com,Professional Services,,5 to 20,No,much_info,95
taiki.online,Technology and Software Development,,1 to 5,No,much_info,95
omnigpt.co,Technology and Software Development,,5 to 20,No,much_info,95
alselli.co.id,Marketing and Advertising,,5 to 20,No,much_info,95
prestine-pianos.co.uk,E-commerce and Retail,,1 to 5,No,much_info,95
albertosardinas.com,Professional Services,,solo,No,much_info,95
consultantssc.co.site,Professional Services,,solo,No,unreachable,10
rwrite.org,Technology and Software Development,,solo,No,little_info,50
enigmasoftware.com,Technology and Software Development,,50 to 100,No,much_info,95
orchard.co,Technology and Software Development,,50 to 100,No,little_info,50
visahub.io,Professional Services,Immigration Services,1 to 5,No,much_info,95
filesaved.org,Technology and Software Development,,solo,No,unreachable,20
hey.com,Technology and Software Development,,50 to 100,Yes,much_info,95
expertallies.com,Technology and Software Development,,50 to 100,No,much_info,95
haloai.tech,Technology and Software Development,,1 to 5,No,unreachable,10
bhpaymentsconsultancy.com,Professional Services,,1 to 5,No,unreachable,50
bsbtransport.com.au,Logistics and Transportation,,5 to 20,No,unreachable,75
stoneagetools.com,Manufacturing and Industrial,,5 to 20,No,much_info,95
alexl.uk,Other,Personal Blog,solo,No,much_info,95
all-in-one-agentur.com,Marketing and Advertising,,1 to 5,No,much_info,95
arbgamingllc.com,Technology and Software Development,,20 to 50,No,much_info,95
arihantwebtech.ca,Technology and Software Development,,20 to 50,No,much_info,95
bluemotiongroup.co.za,Marketing and Advertising,,5 to 20,No,much_info,95
invictexdigital.com,Technology and Software Development,,1 to 5,No,unreachable,50
it-pp.co.uk,Professional Services,IT Procurement and Supply Chain Management,5 to 20,No,much_info,90
letsumai.com,Technology and Software Development,,50 to 100,No,much_info,95
mailotrucking.com,Logistics and Transportation,,1 to 5,No,much_info,95
makeitautomatic.com,Technology and Software Development,,solo,No,little_info,60
orderitai.com,Technology and Software Development,,5 to 20,No,much_info,95
pitchly.se,Technology and Software Development,,1 to 5,No,unreachable,95
platformoutsourcing.com.au,Professional Services,,20 to 50,No,much_info,95
playerstoday.net,Other,,solo,No,unreachable,20
tollemarketing.com,Marketing and Advertising,,1 to 5,No,much_info,95
webycorp.com,Technology and Software Development,,1 to 5,No,unreachable,60
lne-electric.com,Manufacturing and Industrial,,5 to 20,No,much_info,95
qualifast.bg,Professional Services,,1 to 5,No,little_info,60
rosenqvist.ltd,Professional Services,,solo,No,little_info,50
sunscout.co.nz,Technology and Software Development,,1 to 5,No,much_info,95
imt.org,Other,Non-profit,50 to 100,No,much_info,95
binarymigration.io,Technology and Software Development,,5 to 20,No,much_info,95
tftc.dev,Technology and Software Development,,5 to 20,No,unreachable,40
outsourcintel.info,Professional Services,,1 to 5,No,unreachable,50
nq.mozmail.com,Technology and Software Development,,500+,Yes,unreachable,100
adunacapital.com,Financial Service,,1 to 5,No,much_info,95
thefitvelocity.com,Professional Services,,1 to 5,No,much_info,95
fanova.io,Technology and Software Development,,1 to 5,No,little_info,60
egalaxyshop.com,E-commerce and Retail,,1 to 5,No,much_info,95
hoola.media,Marketing and Advertising,,1 to 5,No,little_info,75
space.id,Technology and Software Development,,50 to 100,No,much_info,95
almigration.com,Professional Services,Immigration Services,1 to 5,No,much_info,95
aliguler.com.tr,Professional Services,,5 to 20,No,little_info,60
medireport.fr,Healthcare,,50 to 100,No,much_info,95
mailfence.com,Technology and Software Development,,20 to 50,Yes,much_info,95
nhpcorp.com,Manufacturing and Industrial,,50 to 100,No,unreachable,75
vintagenoveltshirt.com,E-commerce and Retail,,1 to 5,No,much_info,95
people-tree.com,Technology and Software Development,,50 to 100,No,much_info,95
akf-usa.org,Other,Non-profit,500+,No,much_info,95
breakthroughsushi.com,Other,Event Services and Culinary Experience,1 to 5,No,much_info,95
sonatus.com,Technology and Software Development,,50 to 100,No,much_info,95
phantom777.biz,Other,Gambling/Online Casino,1 to 5,No,little_info,60
dragin.io,Technology and Software Development,,5 to 20,No,much_info,95
ae.andersen.com,Professional Services,,500+,No,much_info,95
wello2.com,Healthcare,,50 to 100,No,much_info,95
waverez.com,Technology and Software Development,,20 to 50,No,much_info,95
stanwith.me,E-commerce and Retail,,solo,No,little_info,60
posteo.com,Technology and Software Development,,5 to 20,Yes,much_info,95
auraswing.com,Technology and Software Development,,1 to 5,No,little_info,60
primewaveconsulting.com,Professional Services,,1 to 5,No,little_info,60
saidani-engineering.com,Technology and Software Development,,solo,No,much_info,95
sirstack.com,Marketing and Advertising,,1 to 5,No,much_info,95
learncity.co.uk,Education and e-learning,,1 to 5,No,unreachable,50
paylessenergy.net.au,Professional Services,,5 to 20,No,much_info,95
stocks-engineer.com,Technology and Software Development,,solo,No,unreachable,75
trmlabs.com,Technology and Software Development,,200 to 500,No,much_info,95
agricomimpex.com,Manufacturing and Industrial,,50 to 100,No,much_info,95
nutridayfood.com,E-commerce and Retail,,1 to 5,No,unreachable,40
spacefalcon.com,Technology and Software Development,,50 to 100,No,unreachable,75
grunuss.com,Technology and Software Development,,1 to 5,No,unreachable,40
devbunch.com,Technology and Software Development,,20 to 50,No,much_info,95
doshiengineering.com,Professional Services,,5 to 20,No,much_info,95
