domain,country,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
nn-aviation.com,United States,Manufacturing and Industrial,5 to 20,No,95,N/A,much_info,reachable,200
reisertconsulting.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
atmtanks.com.au,Philippines,Manufacturing and Industrial,50 to 100,No,95,N/A,much_info,reachable,200
bennieadam.com,Australia,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
cbasites.com,6.289396739192819,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
cressio.com,United States,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
cstny.org,United States,Other,20 to 50,No,75,Non-profit,little_info,reachable,200
designdrop.pro,India,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
dialphone.ai,India,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
finewineoffers.org,United States,E-commerce and Retail,1 to 5,No,70,N/A,little_info,reachable,200
flyangelo.com,Canada,Professional Services,solo,No,60,N/A,little_info,reachable,200
g-mee.com,Australia,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
grovegallery.com,United Kingdom,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
infosoftsolutionsltd.com,United Kingdom,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
juliusdein.com,United Arab Emirates,Other,solo,No,95,Entertainment,much_info,reachable,200
knighttransinc.com,6.289396739192819,Logistics and Transportation,20 to 50,No,75,N/A,unreachable,unreachable,Connection Error
nuvetrainc.com,Germany,Other,solo,No,100,Domain Parking/Registration,no_info,reachable,200
reaglobal.com.au,Philippines,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
rockyexteriors.com,United States,Professional Services,1 to 5,No,95,Home Improvement Services,much_info,reachable,200
sacredtaste.com,Australia,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
sixfour3.com,United States,Other,1 to 5,No,95,Sports Training and Facilities,much_info,reachable,200
snapplify.com,South Africa,Education and e-learning,50 to 100,No,95,N/A,much_info,reachable,200
specfx.com,Australia,Technology and Software Development,1 to 5,No,95,N/A,unreachable,unreachable,Timeout
sutterlinsolutions.ch,Switzerland,Professional Services,1 to 5,No,100,N/A,unreachable,unreachable,Connection Error
takethetaking.com,Australia,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
techdots.dev,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
kraster.business,Austria,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
ldlvlimited.com,United States,Professional Services,1 to 5,No,20,N/A,unreachable,unreachable,Connection Error
homeruninvesting.com,Guatemala,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
fairlight-capital.com,Malaysia,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
freyr.com.au,Australia,Professional Services,50 to 100,No,95,Regulatory Affairs and Consulting,unreachable,unreachable,Connection Error
getbackpay.com,United States,Financial Service,50 to 100,No,50,N/A,unreachable,unreachable,Connection Error
musikskolanstockholm.se,Sweden,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
re-dry.com,United States,Manufacturing and Industrial,1 to 5,No,75,N/A,little_info,reachable,200
thailandblueprint.com,Thailand,Professional Services,1 to 5,No,95,Visa and Relocation Services,much_info,reachable,200
kodopacific.com,Australia,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
setupfx.com,United Arab Emirates,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
medisale.be,Nigeria,Healthcare,50 to 100,No,95,N/A,much_info,reachable,200
apexme.com,Thailand,Professional Services,5 to 20,No,50,N/A,unreachable,unreachable,403
admstudios.at,Austria,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
creatify.solutions,United Kingdom,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
ibtpan.ba,Bosnia & Herzegovina,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
ondemandint.com,India,Professional Services,20 to 50,No,95,Business Consulting and Global Expansion Services,much_info,reachable,200
efl.global,Sri Lanka,Logistics and Transportation,500+,No,95,N/A,much_info,reachable,200
procall.hr,Bosnia & Herzegovina,Professional Services,200 to 500,No,95,N/A,much_info,reachable,200
b2bwizards.io,India,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
cellerose.com,Germany,Other,500+,No,60,Domain Registrar/Hosting,little_info,reachable,200
chinh.store,Canada,Other,solo,No,95,Author/Personal Branding,much_info,reachable,200
10xbulls.com,India,Financial Service,5 to 20,No,40,N/A,unreachable,unreachable,Connection Error
4starventure.com,United States,E-commerce and Retail,solo,No,60,N/A,little_info,reachable,200
accplumbing.net,Australia,Professional Services,1 to 5,No,50,N/A,unreachable,unreachable,404
acristoengine.com,United States,Real Estate and Property Management,solo,No,60,N/A,little_info,reachable,200
admedius.com,United States,Marketing and Advertising,50 to 100,No,95,N/A,much_info,reachable,200
advancedpsychologyinstitute.com,United States,Healthcare,1 to 5,No,95,N/A,much_info,reachable,200
agentwizardry.com,Canada,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
aifactoryhk.com,Viet Nam,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
alloraprojects.com.au,Australia,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
alphamax.pro,Romania,Financial Service,solo,No,65,N/A,little_info,reachable,200
amca.work,India,Professional Services,1 to 5,No,75,N/A,little_info,reachable,200
amurglobal.com,Pakistan,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
andromarkets.com,United Arab Emirates,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
anythingcomestomind.com,"Korea, Republic Of",Technology and Software Development,solo,No,95,N/A,much_info,reachable,200
apetrosyan.net,Germany,Technology and Software Development,solo,No,50,N/A,unreachable,unreachable,SSL Error
apparelinus.com,United States,Other,solo,No,10,N/A,unreachable,unreachable,Connection Error
ark2construct.com,India,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
arrowsolarsolutions.au,India,Professional Services,1 to 5,No,60,N/A,little_info,reachable,200
asktechguy.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
assistedin.com.au,Australia,Other,solo,No,95,Domain Parking / Registrar,no_info,reachable,200
astes.com.au,"Venezuela, Bolivarian Republic Of",Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
augasta.gmbh,Germany,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
averyhealth.co.za,South Africa,Healthcare,1 to 5,No,70,N/A,unreachable,unreachable,404
axiara.ch,Austria,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
azuretcg.com,Colombia,E-commerce and Retail,1 to 5,No,75,N/A,little_info,reachable,200
balticassist.com,Lithuania,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
beyondfood.ch,France,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
blockchainsaints.org,Sri Lanka,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
blueskybizsolutions.com,Philippines,Financial Service,5 to 20,No,95,N/A,much_info,reachable,200
bluverseinfobit.com,India,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
boclar.com,Costa Rica,Technology and Software Development,50 to 100,No,40,N/A,unreachable,unreachable,Exceeded 30 redirects.
boraaluga.com.br,United States,Other,1 to 5,No,75,Rental Services,little_info,reachable,200
brefni.com.au,Australia,Professional Services,100 to 200,No,95,N/A,much_info,reachable,200
briangould-properties.com,Ireland,Real Estate and Property Management,solo,No,75,N/A,no_info,reachable,200
brworksolutions.com,United States,Professional Services,1 to 5,No,60,N/A,no_info,reachable,200
bulkifex.com,Australia,E-commerce and Retail,20 to 50,No,95,N/A,much_info,reachable,200
caninecodeltd.com,United Kingdom,Technology and Software Development,1 to 5,No,75,N/A,little_info,reachable,200
cascalia.com,United Arab Emirates,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
cashaward.info,United States,Other,solo,No,95,Scam/Spam,unreachable,unreachable,Connection Error
cbaccservices.co.uk,United Kingdom,Professional Services,solo,No,40,N/A,no_info,reachable,200
cigreen.net,United States,Other,1 to 5,No,75,Environmental Services,unreachable,unreachable,Connection Error
civilmind.io,United States,Technology and Software Development,1 to 5,No,60,N/A,little_info,reachable,200
clearviewcleaning.com.au,Australia,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
cleb.co.uk,United Kingdom,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
clevaramgmt.com,United Kingdom,Professional Services,1 to 5,No,60,N/A,little_info,reachable,200
client-capitalgroup.com,United Kingdom,Financial Service,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
client-milfordasset.com,6.289396739192819,Financial Service,1 to 5,No,75,N/A,unreachable,unreachable,Connection Error
clubdvin.com,United States,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
connoisseurhospitality.com,United States,Professional Services,5 to 20,No,95,Hospitality and Travel Management,much_info,reachable,200
conzuri.com,United States,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
cornerstones.com.au,Australia,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
crtotalcleaning.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
cryptonx.trade,Canada,Financial Service,20 to 50,No,95,N/A,much_info,reachable,200
cultivatusideas.com,Chile,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
darna.site,Algeria,Other,solo,No,40,N/A,no_info,reachable,200
dashloc.com,India,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
digitaltreasury.com.au,Australia,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
digitariff.co.uk,,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
digitrench.com,Bangladesh,Technology and Software Development,1 to 5,No,60,N/A,little_info,reachable,200
directmbc.com,Algeria,Technology and Software Development,50 to 100,No,50,N/A,unreachable,unreachable,410
divinefavoursms.com,United Kingdom,Technology and Software Development,1 to 5,No,75,N/A,little_info,reachable,200
dupe.fi,Canada,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
eatonsq.com,,Financial Service,100 to 200,No,95,N/A,much_info,reachable,200
ecom007.com,India,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
edenrentals.es,Spain,Real Estate and Property Management,5 to 20,No,95,N/A,much_info,reachable,200
emberslate.shop,United Kingdom,E-commerce and Retail,solo,No,70,N/A,little_info,reachable,200
emergimentors.com.au,Australia,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
exiscale.com,United States,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
exportia.com.au,Australia,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
externa-international.com,Canada,Professional Services,5 to 20,No,60,N/A,little_info,reachable,200
exxoworld.com,Canada,Other,solo,No,10,N/A,unreachable,unreachable,Connection Error
fantasysportstoken.org,United Kingdom,Technology and Software Development,1 to 5,No,55,N/A,little_info,reachable,200
fattanicomputers.com,Pakistan,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
fixanyphoto.com,Bangladesh,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
flashfixs.com,Switzerland,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
flexistones.com,India,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
france-aesthetic.fr,Armenia,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
ganakonsultan.com,Indonesia,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
ggccfx.com,United Arab Emirates,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
gloryeltrade.com,Botswana,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
goktel.net,United States,Technology and Software Development,1 to 5,No,50,N/A,little_info,reachable,200
goomood.com,United Kingdom,Other,solo,No,70,Coming Soon/Placeholder,no_info,reachable,200
goteamup.co.uk,Philippines,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
gotinflatables.com,United States,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
grabbfx.com,Kenya,Financial Service,50 to 100,No,60,N/A,unreachable,unreachable,404
gratiamgmt.com,United States,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
growmaxai.com,India,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
haelthy.com,Germany,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
hekautech.com,India,Technology and Software Development,20 to 50,No,60,N/A,little_info,reachable,200
hetcash.com,India,Financial Service,1 to 5,No,60,N/A,unreachable,unreachable,SSL Error
honeybirdhomes.com,United States,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
houseofassignments.com,India,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
hunterconnect.net,United States,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
imsailor.com,United States,Technology and Software Development,solo,No,45,N/A,little_info,reachable,200
innovantsolution.com,India,Professional Services,1 to 5,No,90,IT Consultancy,much_info,reachable,200
islamicsocietyfolsom.com,United States,Other,1 to 5,No,70,Non-profit,little_info,reachable,200
itsevolve.com,United States,Technology and Software Development,5 to 20,No,50,N/A,unreachable,unreachable,500
jtr-autos.com,United States,E-commerce and Retail,1 to 5,No,70,N/A,unreachable,unreachable,Connection Error
kafekinship.com,United States,Other,solo,No,95,Domain Parking,no_info,reachable,200
kajisbeauty.com,United States,Education and e-learning,1 to 5,No,95,N/A,much_info,reachable,200
kerie.app,Philippines,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
kmina.com,Spain,E-commerce and Retail,50 to 100,No,95,N/A,much_info,reachable,200
kruiseaveph.com,Philippines,Other,1 to 5,No,75,Travel Agency,little_info,reachable,200
lcmigration.com,Australia,Professional Services,1 to 5,No,95,Immigration Services,much_info,reachable,200
leaplabour.com.au,,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
leppardlaw.com,United States,Professional Services,5 to 20,No,95,Legal Services,much_info,reachable,200
letapyr.ch,Switzerland,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
lionessfashion.com,Australia,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
lizlarroquette.com,United States,Real Estate and Property Management,solo,No,95,N/A,much_info,reachable,200
lopesstudio.com,United States,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
loveyagutsbox.com,Australia,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
luxinvest.io,United Arab Emirates,Financial Service,1 to 5,No,75,N/A,little_info,reachable,200
luxiumrefresh.com,UK,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
marambaiatech.com,Brazil,Technology and Software Development,1 to 5,No,70,N/A,unreachable,unreachable,409
massavana.com,United States,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
medex.co.th,Thailand,Healthcare,50 to 100,No,70,N/A,unreachable,unreachable,Timeout
merlinhomes.co,United Kingdom,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
mindgives.com.au,Australia,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
mouadakalai.team,Morocco,Technology and Software Development,solo,No,60,N/A,little_info,reachable,200
mtkdigital.io,France,E-commerce and Retail,50 to 100,No,95,N/A,much_info,reachable,200
nactionsg.com,Singapore,Financial Service,1 to 5,No,95,N/A,much_info,reachable,200
neuralnet9.com,United States,Technology and Software Development,solo,No,70,N/A,no_info,reachable,200
newlooktrend.com,Malaysia,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
ninjavpn.app,India,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
nurturebeast.com,United States,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
nuz.net,Turkey,Financial Service,1 to 5,No,95,Cryptocurrency Cashback Platform,much_info,reachable,200
oberrheinische.com,Kenya,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
oguz.law,United States,Professional Services,5 to 20,No,95,Legal Services,much_info,reachable,200
oneltd.tech,United Kingdom,Technology and Software Development,solo,No,50,N/A,no_info,reachable,200
opthealthservices.com.au,Australia,Healthcare,5 to 20,No,95,N/A,much_info,reachable,200
otom-energy.com,United States,Manufacturing and Industrial,20 to 50,No,95,N/A,much_info,reachable,200
paidtoswitch.ie,United Kingdom,Other,1 to 5,No,95,Job Board/Recruitment,unreachable,unreachable,Connection Error
pandastack.io,India,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
pimarexpress.ht,United States,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable,200
pinwheel.com,United States,E-commerce and Retail,50 to 100,No,95,N/A,much_info,reachable,200
prestige.trade,United Arab Emirates,Professional Services,solo,No,0,N/A,unreachable,unreachable,Connection Error
propfintech.com,United Kingdom,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
quickcash.finance,United States,Financial Service,solo,No,95,N/A,no_info,reachable,200
quickexpressgoods.com,United States,Logistics and Transportation,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
quillquestpublishing.com,United States,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
rawhousecleaning.com,United States,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
remonsauto.com,United States,Logistics and Transportation,5 to 20,No,95,N/A,much_info,reachable,200
rollmate.com.au,New Zealand,E-commerce and Retail,solo,No,95,N/A,much_info,reachable,200
ryansmss.com,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
saastech.io,Turkey,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
scashglobal.com,Singapore,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
simplestudy.com,Portugal,Education and e-learning,50 to 100,No,95,N/A,much_info,reachable,200
skeelx.com,Australia,Technology and Software Development,1 to 5,No,65,N/A,little_info,reachable,200
smartinfosolutions.com.au,India,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,Connection Error
socialchamp.io,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
socialsbysxphie.com,Canada,Marketing and Advertising,solo,No,75,N/A,little_info,reachable,200
solidstartdev.com,United States,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
solnrus.com,United States,Professional Services,20 to 50,No,95,Hospitality Staffing,much_info,reachable,200
solutionize.tech,United Kingdom,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
somozalawfirm.com,United States,Professional Services,1 to 5,No,95,Legal Services,much_info,reachable,200
somsoft.so,Somalia,Technology and Software Development,5 to 20,No,75,N/A,unreachable,unreachable,Timeout
southerncruxtransport.ws,US,Logistics and Transportation,1 to 5,No,50,N/A,little_info,reachable,200
spacecore.pro,United Kingdom,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
spacepirate.io,United States,Technology and Software Development,1 to 5,No,95,N/A,much_info,reachable,200
stayinternationalusa.com,US,Technology and Software Development,solo,No,60,N/A,no_info,reachable,200
studioqiro.asia,Malaysia,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
sugarinuk.com,United Kingdom,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
superfastauto.com,United States,E-commerce and Retail,1 to 5,No,70,N/A,unreachable,unreachable,Connection Error
superh.app,United States,Technology and Software Development,20 to 50,No,70,N/A,little_info,reachable,200
teampro.com,United States,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
thecleaningdrones.com.au,Australia,Professional Services,1 to 5,No,95,N/A,much_info,reachable,200
theconscientiousgroup.com.au,Philippines,Professional Services,solo,No,60,N/A,little_info,reachable,200
thepaceinfosys.com,Nepal,Technology and Software Development,50 to 100,No,95,N/A,much_info,reachable,200
theserialtraveller.com,United States,Other,solo,No,75,Travel Agency,little_info,reachable,200
thezero.day,India,Technology and Software Development,solo,No,50,N/A,no_info,reachable,200
travelminds.net,Ireland,Other,solo,No,95,N/A,no_info,reachable,200
trovaunposto.it,Italy,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
try-claro.com,United Arab Emirates,E-commerce and Retail,5 to 20,No,95,N/A,much_info,reachable,200
unblock.io,United Arab Emirates,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
usa.am,Armenia,Professional Services,500+,No,45,N/A,unreachable,unreachable,999
valentin.kr,Switzerland,Technology and Software Development,solo,No,40,N/A,unreachable,unreachable,Connection Error
valueworldz.com,Indonesia,E-commerce and Retail,1 to 5,No,95,N/A,much_info,reachable,200
venderly.ai,Germany,Technology and Software Development,20 to 50,No,95,N/A,much_info,reachable,200
vinkodigital.com,Chile,Technology and Software Development,5 to 20,No,95,N/A,much_info,reachable,200
vitastep.com.au,,Education and e-learning,5 to 20,No,95,N/A,much_info,reachable,200
vlakar.ae,United Arab Emirates,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
wakeupwarrior.com,United States,Education and e-learning,solo,No,95,N/A,much_info,reachable,200
wintech-solutions.co,Philippines,Professional Services,5 to 20,No,95,N/A,much_info,reachable,200
wrightpointwealth.com,United States,Financial Service,solo,No,40,N/A,no_info,reachable,200
wwwh2olabs.com,Pakistan,Other,solo,No,95,N/A,no_info,reachable,200
x-publishing.com,Canada,Marketing and Advertising,5 to 20,No,95,N/A,much_info,reachable,200
xpressioncorp.com,India,Technology and Software Development,1 to 5,No,50,N/A,unreachable,unreachable,SSL Error
yaycg.com,United States,Marketing and Advertising,1 to 5,No,95,N/A,much_info,reachable,200
zeila.shop,Philippines,E-commerce and Retail,solo,No,10,N/A,unreachable,unreachable,Connection Error
blueflamesolution.co.site,United States,Technology and Software Development,1 to 5,No,75,N/A,unreachable,unreachable,404
